IDRSSD,RCFDA591,RCFDB705,RCFDB706,RCFDB707,RCFDB708,RCFDB709,RCFDB710,RCFDB711,RCFDB726,RCFDB727,RCFDB728,RCFDB729,RCFDB730,RCFDB731,RCFDB732,RCFDB733,RCFDB734,RCFDB735,RCFDB736,RCFDB737,RCFDB738,RCFDB739,RCFDB740,RCFDB741,RCFDB742,RCFDB743,RCFDB744,RCFDB745,RCFDB746,RCFDB776,RCFDB779,RCFDB780,RCFDB781,RCFDB782,RCFDB783,RCFDB786,RCFDB787,RCFDB788,RCFDB789,RCFDB790,RCFDB796,RCFDB797,RCFDB803,RCFDB804,RCFDB805,RCFDB806,RCFDB807,RCFDB808,RCFDB809,RCFDC407,RCFDF699,RCFDHU09,RCFDHU10,RCFDHU11,RCFDHU12,RCFDHU13,RCFDHU14,RCFDHU15,RCFDHU16,RCFDHU17,RCFDHU18,RCONA591,RCONB705,RCONB711,RCONB733,RCONB739,RCONB740,RCONB746,RCONB776,RCONB782,RCONB783,RCONB789,RCONB790,RCONB796,RCONB797,RCONB803,RCONB804,RCONB805,RCONB806,RCONB807,RCONB808,RCONB809,RCONC407,RCONF699,RCONHU09,RCONHU15,RCONHU19,RIADB747,RIADB748,RIADB749,RIADB750,RIADB751,RIADB752,RIADB753,RIADB754,RIADB755,RIADB756,RIADB757,RIADB758,RIADB759,RIADB760,
,OTSTDNG PRIN BAL LNS OTH TH 1-4 FAML,"OTSTDNG PRNCPL BAL,ETC-1-4 FAM RESDL","OTSTDNG PRNCPL BAL OF,ETC-HM EQ LINS","OTSTDNG PRNCPL BAL OF,ETC-CR CRD RCV","OTSTDNG PRNCPL BAL OF,ETC-AUTO LOANS","OTSTDNG PRNCPL BAL OF,ETC-OT CSMR LN",OTSTDNG PRNCPL BAL OF-CMMRL&INDU LNS,"OTSTDNG PRNCPL BAL OF,ETC-ALL OT LNS",REPRTNG BNK'S UNUSD CMMTMTS-1-4 FAM,REPRTNG BNK'S UNUSD CMMTMTS-HM EQ LN,RPRTNG BNK'S UNUSD CMTMTS-CR CRD REC,REPRTNG BNK'S UNUSD CMMTMTS-AUTO LNS,RPRTNG BK'S UNUSD CMTMTS-OT CSMR LNS,RPRTNG BK'S UNUSD CMTMTS-C & I LOANS,RPRTING BK'S UNUSD CMTMTS-ALL OT LNS,PAST DUE LN AMTS:30-89 DYS FAMI RSDL,PAST DUE LOAN AMTS:30-89 DYS HM EQTY,PAST DUE LOAN AMTS:30-89 DYS CR CARD,PAS DUE LN AMTS:30-89 DYS AUTO LOANS,PAS DUE LN AMTS:30-89 DYS OT CSMR LN,PAS DU LN AMTS:30-89 DYS CML&IND LNS,PAS DU LN AMTS:30-89 DYS ALL OTH LNS,PAS DU LN AMTS:90 DAYS/MORE 1-4 FAM,PAS DUE LN AMTS:90 DYS/MOR HM EQY LN,PAS DU LN AMTS:90 DYS/MOR CR CRD RCV,PAST DUE LN AMTS:90 DYS/MOR AUTO LNS,PAS DUE LN AMTS:90 DYS/MOR OTH CNSMR,PAS DU LN AMTS:90 DYS/MOR CMMRL&IND,PAS DUE LN AMTS:90 DYS/MOR ALL OTHER,"MAXI AMT OF CRDIT,ETC:1-4 FAMI RSDTL","MAXI AMOUNT OF CREDIT,ETC:AUTO LOANS","MAXI AMT OF CREDIT,ETC:OTH CNSMR LNS","MAXI AMT OF CREDIT,ETC:CMMRCL&INDUST","MAXI AMT OF CREDIT,ETC:ALL OTH LOANS",RPRTNG BK'S UNUSD CMTMTS:1-4 FAM RSD,RPRTNG BNK'S UNUSD CMTMTS:AUTO LOANS,RPRTNG BNK'S UNUSD CMTMTS:OT CSMR LN,RPRTNG BK'S UNUSD CMTMTS:CMMRL&INDUS,RPRTNG BK'S UNUSD CMTMTS:ALL OTH LNS,"ASSTS SLD W/RECOURSE,ETC:1-4 FAM RSD","ASSTS SOLD W/RECOURSE,ETC:ALL OT LNS","MAXI AMT OF CREDIT,ETC:1-4 FAM RSDTL","MAXI AMT OF CREDIT,ETC:ALL OTH LOANS",1-4FAM RES MORTGAGE SERVIC W/RECRS,1-4FAM RES MORTG SERVIC W/ NO RECR,"MAXI AMT OF,ETC:CONDUITS SPNSRD BANK","MAXI AMT OF,ETC:CONDUITS SPNSRD OTHR","UNUSED CMTMTS,ETC:CONDUITS SPNSRD BK","UNUSD CMTMTS,ETC:CONDUITS SPNSRD OTH",OUTSTNG CRD CRD FEES & FIN CHRGS,OTST PRIN BLNC ASTS 1-4 RES MTG FRCL,Maximum amout of credit exposure ari,Maximum amout of credit exposure ari,Maximum amout of credit exposure ari,Maximum amout of credit exposure ari,Maximum amout of credit exposure ari,Maximum amout of credit exposure ari,Maximum amout of credit exposure ari,Total amount of ownership (or seller,Total amount of ownership (or seller,Total amount of ownership (or seller,OTSTDNG PRIN BAL LNS OTH TH 1-4 FAML,"OTSTDNG PRNCPL BAL,ETC-1-4 FAM RESDL","OTSTDNG PRNCPL BAL OF,ETC-ALL OT LNS",PAST DUE LN AMTS:30-89 DYS FAMI RSDL,PAS DU LN AMTS:30-89 DYS ALL OTH LNS,PAS DU LN AMTS:90 DAYS/MORE 1-4 FAM,PAS DUE LN AMTS:90 DYS/MOR ALL OTHER,"MAXI AMT OF CRDIT,ETC:1-4 FAMI RSDTL","MAXI AMT OF CREDIT,ETC:ALL OTH LOANS",RPRTNG BK'S UNUSD CMTMTS:1-4 FAM RSD,RPRTNG BK'S UNUSD CMTMTS:ALL OTH LNS,"ASSTS SLD W/RECOURSE,ETC:1-4 FAM RSD","ASSTS SOLD W/RECOURSE,ETC:ALL OT LNS","MAXI AMT OF CREDIT,ETC:1-4 FAM RSDTL","MAXI AMT OF CREDIT,ETC:ALL OTH LOANS",1-4FAM RES MORTGAGE SERVIC W/RECRS,1-4FAM RES MORTG SERVIC W/ NO RECR,"MAXI AMT OF,ETC:CONDUITS SPNSRD BANK","MAXI AMT OF,ETC:CONDUITS SPNSRD OTHR","UNUSED CMTMTS,ETC:CONDUITS SPNSRD BK","UNUSD CMTMTS,ETC:CONDUITS SPNSRD OTH",OUTSTNG CRD CRD FEES & FIN CHRGS,OTST PRIN BLNC ASTS 1-4 RES MTG FRCL,Maximum amout of credit exposure ari,Maximum amout of credit exposure ari,Total amount of ownership (or seller,"CHRG-OFFS ON ASSETS SOLD,ETC:1-4 FAM",CHRG-OFFS ON ASSETS SOLD ETC HM EQTY,"CHRG-OFFS ON ASTS SOLD,ETC:CRDT CARD","CHRG-OFFS ON ASSETS SLD,ETC:AUTO LNS","CHRG-OFFS ON ASSETS SLD,ETC:OTH CSMR","CHRG-OFFS ON ASSETS SLD,ETC:CMRL&IND","CHRG-OFFS ON ASSETS SLD,ETC:ALL OTHR","RECOVERIES ON ASSETS SLD,ETC:1-4 FAM","RECOVERIES ON ASSETS SLD,ETC:HM EQTY","RECOVERIES ON ASSETS SLD,ETC:CR CARD","RECOVERIES ON ASTS SOLD,ETC:AUTO LNS","RECOVERIES ON ASTS SLD,ETC:OTH CNSMR","RECOVERIES ON ASTS SOLD,ETC:CMRL&IND","RECOVERIES ON ASSETS SLD,ETC:ALL OTH",
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
