IDRSSD,RCON8725,RCONA126,RCONC391,RCONFT00,RCONFT01,RCONFT02,RCONFT03,RCONFT04,RCONFT05,RCONFT06,RCONFT07,RCONFT08,RCONFT09,RCONFT10,RCONFT11,RCONFT12,RCONFT13,RCONFT14,RCONFT15,RCONFT16,RCONHK18,RCONHK19,RIADC388,RIADC389,RIADC390,RIADF551,RIADF553,
,TOTL INT RATE CONTRCS-MKD TO MARKET,TOTAL INT RATE CONTRACTS TRADING,OTSTDNG CRED CD FEES & FIN CHGS,DOES THE INSTITUTION HAVE ANY DERIVA,TOTAL GROSS NOTIONAL AMOUNT OF ALL O,TOTAL GROSS NOTIONAL AMOUNT OF ALL O,FOR THE TWO CALENDAR QUARTERS PRECED,PRINCIPAL AMOUNT OF 1-4 FAMILY RESID,QUARTER END AMOUNT OF 1-4 FAMILY RES,DOES THE INSTITUTION USE THE FAIR VA,DOES THE INSTITUTION HAVE ANY ASSETS,TOTAL OUTSTANDING PRINCIPAL BALANCE,DOES THE INSTITUTION HAVE ANY ASSETS,TOTAL OUTSTANDING PRINCIPAL BALANCE,DOES THE INSTITUTION SERVICE ANY CLO,TOTAL OUTSTANDING PRINCIPAL BALANCE,DOES THE INSTITUTION HAVE ANY CONSOL,TOTAL ASSETS OF CONSOLIDATED VARIABL,TOTAL LIABILITIES OF CONSOLIDATED VA,"DOES THE INSTITUTION, TOGETHER WITH",AGGREGATE AMOUNT OF FAIR VALUE OPTIO,AGGREGATE AMOUNT OF FAIR VALUE OPTIO,UNCOLLBLE CRED CRD FEE&FIN CHGS,SEPARATE VAL ALLOW CRED/FIN CHGS,AMT ALLOW CR LN&LSE LOSS CC/FIN CHGS,NET GAINS(LOSS) ERN RPT AT FV,NET GN LS ERN ON LIABILITY RPT AT FV,
37,,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,
242,,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,
279,25000,0,,true,0,0,true,14621,0,false,false,,false,,true,27881,false,,,false,,,,,,,,
354,,,,false,,,true,5128,275,false,false,,true,6659,false,,false,,,false,,,,,,,,
457,,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,
505,20000,0,,true,0,0,false,,,false,false,,true,55894,true,61731,false,,,false,,,,,,,,
1155,2288,0,,true,0,0,false,,,false,false,,false,,true,10234,false,,,false,,,,,,,,
1351,,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,
1454,2209,0,,true,0,0,false,,,false,false,,true,4131,true,38168,false,,,false,,,,,,,,
